player,position,age,base_salary,signing_bonus,perf_bonus,total_salary,total_cap_hit,adjusted_cap_hit,cap_pct,team,season
Brent Seabrook,D,33,"$4,500,000","$4,500,000",-,"$9,000,000","$6,875,000","$6,875,000",9.3,chicago-blackhawks,2018/2019
Brett Connolly,RW,26,"$1,500,000",-,-,"$1,500,000","$1,500,000","$1,500,000",1.85,washington-capitals,2018/2019
Brett Connolly,RW,27,"$3,500,000",-,-,"$3,500,000","$3,500,000","$3,500,000",4.38,florida-panthers,2019/2020
Brett Howden,C,20,"$832,500","$92,500",-,"$832,500","$863,333","$863,333",1.16,new-york-rangers,2018/2019
Brett Kulak,D,24,"$900,000",-,-,"$900,000","$900,000","$900,000",1.24,montreal-canadiens,2018/2019
Brett Kulak,D,25,"$1,950,000",-,-,"$1,950,000","$1,850,000","$1,850,000",2.43,montreal-canadiens,2019/2020
Brett Pesce,D,23,"$4,025,000",-,-,"$4,025,000","$4,025,000","$4,025,000",6.42,carolina-hurricanes,2018/2019
Brett Ritchie,RW,25,"$1,800,000",-,-,"$1,800,000","$1,750,000","$1,750,000",2.37,dallas-stars,2018/2019
Brian Boyle,C,33,"$2,500,000",-,-,"$806,460","$2,750,000","$887,100",1.17,nashville-predators,2018/2019
Brian Boyle,C,34,"$940,000",-,-,"$940,000","$940,000","$940,000",1.18,florida-panthers,2019/2020
Brian Dumoulin,D,27,"$4,100,000",-,-,"$4,100,000","$4,100,000","$4,100,000",5.36,pittsburgh-penguins,2018/2019
Brian Dumoulin,D,28,"$4,100,000",-,-,"$4,100,000","$4,100,000","$4,100,000",4.82,pittsburgh-penguins,2019/2020
Brian Elliott,G,33,"$3,000,000",-,-,"$3,000,000","$2,750,000","$2,750,000",3.89,philadelphia-flyers,2018/2019
Brian Elliott,G,34,"$2,000,000",-,-,"$2,000,000","$2,000,000","$2,000,000",2.47,philadelphia-flyers,2019/2020
Brian Gibbons,C,30,"$1,000,000",-,-,"$220,416","$1,000,000","$220,416",0.32,ottawa-senators,2018/2019
Brock Boeser,RW,21,"$832,500","$92,500","$850,000","$832,500","$925,000","$925,000",1.29,vancouver-canucks,2018/2019
Brock Boeser,RW,22,"$700,000","$3,300,000",-,"$4,000,000","$5,875,000","$5,875,000",6.91,vancouver-canucks,2019/2020
Brock McGinn,LW,24,"$900,000",-,-,"$900,000","$887,500","$887,500",1.42,carolina-hurricanes,2018/2019
Brock McGinn,LW,25,"$1,900,000",-,-,"$1,900,000","$2,100,000","$2,100,000",2.33,carolina-hurricanes,2019/2020
Brock Nelson,C,26,"$4,250,000",-,-,"$4,250,000","$4,250,000","$4,250,000",6.19,new-york-islanders,2018/2019
Brock Nelson,C,27,"$6,000,000","$2,000,000",-,"$8,000,000","$6,000,000","$6,000,000",6.98,new-york-islanders,2019/2020
Brogan Rafferty,D,23,"$832,500","$92,500",-,"$127,311","$925,000","$34,811",0.05,vancouver-canucks,2018/2019
Brooks Orpik,D,38,"$1,000,000",-,"$500,000","$1,500,000","$1,000,000","$1,000,000",1.23,washington-capitals,2018/2019
Bryan Little,C,30,"$6,500,000",-,-,"$6,500,000","$5,291,000","$5,291,000",7.0,winnipeg-jets,2018/2019
Bryan Rust,RW,26,"$3,500,000",-,-,"$3,500,000","$3,500,000","$3,500,000",4.58,pittsburgh-penguins,2018/2019
Bryan Rust,RW,27,"$3,500,000",-,-,"$3,500,000","$3,500,000","$3,500,000",4.12,pittsburgh-penguins,2019/2020
Cal Clutterbuck,RW,30,"$4,000,000",-,-,"$4,000,000","$3,500,000","$3,500,000",5.1,new-york-islanders,2018/2019
Cal Clutterbuck,RW,31,"$3,500,000",-,-,"$3,500,000","$3,500,000","$3,500,000",4.07,new-york-islanders,2019/2020
Cal Petersen,G,24,"$700,000",-,-,"$222,017","$858,333","$272,285",0.42,los-angeles-kings,2019/2020
Cale Makar,D,20,"$832,500","$92,500","$2,500,000","$925,000","$880,833","$880,833",1.11,colorado-avalanche,2019/2020
Caleb Jones,D,22,"$700,000",-,"$70,000","$523,057","$720,000","$538,069",0.67,edmonton-oilers,2019/2020
Calle Jarnkrok,C,27,"$2,100,000",-,-,"$2,100,000","$2,000,000","$2,000,000",2.64,nashville-predators,2018/2019
Calle Jarnkrok,C,28,"$2,200,000",-,-,"$2,200,000","$2,000,000","$2,000,000",2.53,nashville-predators,2019/2020
Calle Rosen,D,24,"$832,500","$92,500","$850,000","$31,332","$925,000","$34,811",0.05,toronto-maple-leafs,2018/2019
Calle Rosen,D,25,"$750,000",-,-,"$153,216","$750,000","$153,216",0.19,toronto-maple-leafs,2019/2020
Calvin Pickard,G,26,"$800,000",-,-,"$503,217","$800,000","$503,217",0.69,arizona-coyotes,2018/2019
Calvin de Haan,D,27,"$4,000,000",-,-,"$4,000,000","$4,550,000","$4,550,000",7.26,carolina-hurricanes,2018/2019
Calvin de Haan,D,28,"$4,700,000",-,-,"$4,700,000","$4,550,000","$4,550,000",6.6,chicago-blackhawks,2019/2020
Cam Fowler,D,26,"$7,500,000",-,-,"$7,500,000","$6,500,000","$6,500,000",8.53,anaheim-ducks,2018/2019
Cam Fowler,D,27,"$7,500,000",-,-,"$7,500,000","$6,500,000","$6,500,000",8.1,anaheim-ducks,2019/2020
Cam Ward,G,34,"$3,000,000",-,-,"$3,000,000","$3,000,000","$3,000,000",4.06,chicago-blackhawks,2018/2019
Cameron Atkinson,RW,29,"$7,375,000",-,-,"$7,375,000","$5,875,000","$5,875,000",7.66,columbus-blue-jackets,2018/2019
Cameron Atkinson,RW,30,"$7,375,000",-,-,"$7,375,000","$5,875,000","$5,875,000",7.57,columbus-blue-jackets,2019/2020
Cameron Talbot,G,31,"$4,200,000",-,-,"$1,129,050","$4,166,666","$1,120,130",1.58,philadelphia-flyers,2018/2019
Cameron Talbot,G,32,"$2,750,000",-,-,"$2,750,000","$2,750,000","$2,750,000",3.6,calgary-flames,2019/2020
Carey Price,G,31,"$2,000,000","$13,000,000",-,"$15,000,000","$10,500,000","$10,500,000",14.5,montreal-canadiens,2018/2019
Carey Price,G,32,"$2,000,000","$13,000,000",-,"$15,000,000","$10,500,000","$10,500,000",13.8,montreal-canadiens,2019/2020
Carl Dahlstrom,D,23,"$725,000","$92,500","$107,500","$544,668","$750,833","$468,292",0.63,chicago-blackhawks,2018/2019
Carl Dahlstrom,D,24,"$700,000","$100,000",-,"$800,000","$850,000","$850,000",1.05,winnipeg-jets,2019/2020
Carl Grundstrom,RW,20,"$832,500","$92,500",-,"$129,804","$925,000","$144,217",0.19,los-angeles-kings,2018/2019
Carl Gunnarsson,D,31,"$2,900,000",-,-,"$2,900,000","$2,900,000","$2,900,000",3.62,st-louis-blues,2018/2019
Carl Gunnarsson,D,32,"$1,750,000",-,-,"$1,750,000","$1,750,000","$1,750,000",2.15,st-louis-blues,2019/2020
Carl Hagelin,LW,30,"$3,666,000",-,-,"$443,475","$4,000,000","$2,000,000",2.46,washington-capitals,2018/2019
Carl Hagelin,LW,31,"$2,500,000","$1,000,000",-,"$2,500,000","$2,750,000","$2,750,000",3.38,washington-capitals,2019/2020
Carl Soderberg,C,32,"$5,000,000",-,-,"$5,000,000","$4,750,000","$4,750,000",6.71,colorado-avalanche,2018/2019
Carl Soderberg,C,33,"$4,000,000",-,-,"$4,000,000","$4,750,000","$4,750,000",6.06,arizona-coyotes,2019/2020
Carson Soucy,D,25,"$750,000",-,-,"$750,000","$750,000","$750,000",0.96,minnesota-wild,2019/2020
Carter Hart,G,20,"$650,000","$92,500","$182,500","$508,405","$730,833","$467,551",0.66,philadelphia-flyers,2018/2019
Carter Hart,G,21,"$700,000",-,"$132,500","$700,000","$730,833","$730,833",0.9,philadelphia-flyers,2019/2020
Carter Hutton,G,32,"$2,750,000",-,-,"$2,750,000","$2,750,000","$2,750,000",3.59,buffalo-sabres,2018/2019
Carter Hutton,G,33,"$2,750,000",-,-,"$2,750,000","$2,750,000","$2,750,000",3.61,buffalo-sabres,2019/2020
Carter Rowney,C,29,"$1,400,000",-,-,"$1,400,000","$1,133,333","$1,133,333",1.49,anaheim-ducks,2018/2019
Carter Rowney,C,30,"$1,000,000",-,-,"$1,000,000","$1,133,333","$1,133,333",1.41,anaheim-ducks,2019/2020
Carter Verhaeghe,C,24,"$700,000",-,-,"$700,000","$700,000","$700,000",0.85,tampa-bay-lightning,2019/2020
Casey Cizikas,C,27,"$3,500,000",-,-,"$3,500,000","$3,350,000","$3,350,000",4.88,new-york-islanders,2018/2019
Casey Cizikas,C,28,"$3,750,000",-,-,"$3,750,000","$3,350,000","$3,350,000",3.9,new-york-islanders,2019/2020
Casey DeSmith,G,27,"$650,000",-,-,"$650,000","$675,000","$675,000",0.88,pittsburgh-penguins,2018/2019
Casey Mittelstadt,C,19,"$832,500","$92,500","$850,000","$925,000","$925,000","$925,000",1.21,buffalo-sabres,2018/2019
Casey Nelson,D,26,"$800,000",-,-,"$800,000","$812,500","$812,500",1.06,buffalo-sabres,2018/2019
Cedric Paquette,C,25,"$1,000,000",-,-,"$1,000,000","$1,000,000","$1,000,000",1.28,tampa-bay-lightning,2018/2019
Cedric Paquette,C,26,"$1,650,000",-,-,"$1,650,000","$1,650,000","$1,650,000",2.01,tampa-bay-lightning,2019/2020
Chad Ruhwedel,D,28,"$650,000",-,-,"$650,000","$650,000","$650,000",0.85,pittsburgh-penguins,2018/2019
Chad Ruhwedel,D,29,"$700,000",-,-,"$700,000","$700,000","$700,000",0.82,pittsburgh-penguins,2019/2020
Chandler Stephenson,C,24,"$650,000",-,-,"$650,000","$650,000","$650,000",0.8,washington-capitals,2018/2019
Chandler Stephenson,C,25,"$1,050,000",-,-,"$694,335","$1,050,000","$1,050,000",1.26,vegas-golden-knights,2019/2020
Charles Hudon,LW,24,"$650,000",-,-,"$650,000","$650,000","$650,000",0.9,montreal-canadiens,2018/2019
Charles Hudon,LW,25,"$800,000",-,-,"$227,953","$800,000","$227,953",0.3,montreal-canadiens,2019/2020
Charles Mcavoy,D,20,"$832,500","$92,500","$500,000","$832,500","$916,667","$916,667",1.18,boston-bruins,2018/2019
Charles Mcavoy,D,21,"$1,200,000","$2,500,000",-,"$3,700,000","$4,900,000","$4,900,000",6.34,boston-bruins,2019/2020
Charlie Coyle,C,26,"$3,750,000",-,-,"$927,406","$3,200,000","$791,440",1.02,boston-bruins,2018/2019
Charlie Coyle,C,27,"$4,250,000",-,-,"$4,250,000","$3,200,000","$3,200,000",4.14,boston-bruins,2019/2020
Charlie Lindgren,G,24,"$700,000","$50,000",-,"$251,601","$750,000","$108,864",0.15,montreal-canadiens,2018/2019
Charlie Lindgren,G,25,"$700,000","$50,000",-,"$425,219","$750,000","$455,616",0.6,montreal-canadiens,2019/2020
Chris Driedger,G,25,"$750,000",-,-,"$750,000","$850,000","$850,000",1.06,florida-panthers,2019/2020
Chris Kreider,LW,27,"$3,500,000","$1,000,000",-,"$4,500,000","$4,625,000","$4,625,000",6.21,new-york-rangers,2018/2019
Chris Kreider,LW,28,"$4,000,000",-,-,"$4,000,000","$4,625,000","$4,625,000",6.42,new-york-rangers,2019/2020
Chris Kunitz,LW,39,"$1,000,000",-,-,"$1,000,000","$1,000,000","$1,000,000",1.35,chicago-blackhawks,2018/2019
Chris Tanev,D,28,"$4,000,000","$1,000,000",-,"$5,000,000","$4,450,000","$4,450,000",6.19,vancouver-canucks,2018/2019
Chris Tanev,D,29,"$4,250,000","$1,000,000",-,"$5,250,000","$4,450,000","$4,450,000",5.23,vancouver-canucks,2019/2020
Chris Thorburn,RW,35,"$900,000",-,-,"$62,907","$900,000","$62,907",0.08,st-louis-blues,2018/2019
Chris Tierney,C,24,"$2,900,000",-,-,"$2,900,000","$2,937,500","$2,937,500",4.22,ottawa-senators,2018/2019
Chris Tierney,C,25,"$2,975,000",-,-,"$2,975,000","$2,937,500","$2,937,500",4.17,ottawa-senators,2019/2020
Chris Wagner,C,27,"$1,250,000",-,-,"$1,250,000","$1,250,000","$1,250,000",1.6,boston-bruins,2018/2019
Chris Wagner,C,28,"$1,250,000",-,-,"$1,250,000","$1,250,000","$1,250,000",1.62,boston-bruins,2019/2020
Christian Djoos,D,24,"$650,000",-,-,"$650,000","$650,000","$650,000",0.8,washington-capitals,2018/2019
Christian Djoos,D,25,"$1,250,000",-,-,"$275,520","$1,250,000","$1,250,000",1.56,anaheim-ducks,2019/2020
Christian Dvorak,C,22,"$832,500",-,"$212,500","$832,500","$839,166","$839,166",1.14,arizona-coyotes,2018/2019
Christian Dvorak,C,23,"$2,950,000","$300,000",-,"$3,250,000","$4,450,000","$4,450,000",5.68,arizona-coyotes,2019/2020
Christian Fischer,RW,21,"$815,000",-,"$230,000","$815,000","$821,666","$821,666",1.12,arizona-coyotes,2018/2019
Christian Fischer,RW,22,"$832,500",-,"$212,500","$832,500","$821,666","$821,666",1.05,arizona-coyotes,2019/2020
Christian Folin,D,27,"$800,000",-,-,"$245,157","$800,000","$245,157",0.34,montreal-canadiens,2018/2019
Christian Folin,D,28,"$800,000",-,-,"$670,956","$800,000","$670,956",0.88,montreal-canadiens,2019/2020
Christian Jaros,D,22,"$650,000","$80,000","$70,000","$597,645","$755,000","$694,089",1.0,ottawa-senators,2018/2019
Christian Wolanin,D,24,"$800,000",-,-,"$129,030","$900,000","$145,170",0.21,ottawa-senators,2019/2020
Christoffer Ehn,C,23,"$700,000","$92,500","$132,500","$762,314","$759,167","$726,596",1.07,detroit-red-wings,2019/2020
Claude Giroux,C,30,"$9,000,000",-,-,"$9,000,000","$8,275,000","$8,275,000",11.7,philadelphia-flyers,2018/2019
Claude Giroux,C,31,"$5,000,000","$3,000,000",-,"$8,000,000","$8,275,000","$8,275,000",10.21,philadelphia-flyers,2019/2020
Clayton Keller,C,20,"$832,500","$92,500","$850,000","$832,500","$885,833","$885,833",1.21,arizona-coyotes,2018/2019
Clayton Keller,C,21,"$832,500",-,"$850,000","$832,500","$885,833","$885,833",1.13,arizona-coyotes,2019/2020
Cody Ceci,D,24,"$4,300,000",-,-,"$4,300,000","$4,300,000","$4,300,000",6.18,ottawa-senators,2018/2019
Cody Ceci,D,25,"$4,500,000",-,-,"$4,500,000","$4,500,000","$4,500,000",5.48,toronto-maple-leafs,2019/2020
Cody Eakin,C,27,"$3,850,000",-,-,-,"$3,850,000","$3,850,000",4.88,vegas-golden-knights,2018/2019
Cody Eakin,C,28,"$3,850,000",-,-,"$910,756","$3,850,000","$3,850,000",4.76,winnipeg-jets,2019/2020
Cody Goloubef,D,29,"$800,000",-,-,"$189,244","$800,000","$189,244",0.28,detroit-red-wings,2019/2020
Cody McLeod,LW,34,"$750,000",-,-,"$241,920","$750,000","$241,920",0.32,nashville-predators,2018/2019
Colby Cave,C,23,"$650,000",-,-,"$297,578","$675,000","$297,578",0.36,edmonton-oilers,2018/2019
Colin Blackwell,C,26,"$700,000",-,-,"$417,693","$675,000","$402,819",0.51,nashville-predators,2019/2020
Colin Miller,D,25,"$3,875,000",-,-,"$3,875,000","$3,875,000","$3,875,000",4.91,vegas-golden-knights,2018/2019
Colin Miller,D,26,"$3,875,000",-,-,"$3,875,000","$3,875,000","$3,875,000",5.08,buffalo-sabres,2019/2020
Colin White,C,21,"$832,500","$92,500","$360,000","$832,500","$925,000","$925,000",1.33,ottawa-senators,2018/2019
Colin White,C,22,"$4,000,000",-,-,"$4,000,000","$4,750,000","$4,750,000",6.74,ottawa-senators,2019/2020
Colin Wilson,C,28,"$4,000,000",-,-,"$4,000,000","$3,937,500","$3,937,500",5.56,colorado-avalanche,2018/2019
Colton Parayko,D,25,"$6,500,000",-,-,"$6,500,000","$5,500,000","$5,500,000",6.87,st-louis-blues,2018/2019
Colton Parayko,D,26,"$5,525,000",-,-,"$5,525,000","$5,500,000","$5,500,000",6.76,st-louis-blues,2019/2020
Colton Sceviour,C,29,"$850,000","$350,000",-,"$1,200,000","$1,200,000","$1,200,000",1.56,florida-panthers,2018/2019
Colton Sceviour,C,30,"$1,200,000",-,-,"$1,200,000","$1,200,000","$1,200,000",1.5,florida-panthers,2019/2020
Colton Sissons,C,24,"$650,000",-,-,"$650,000","$625,000","$625,000",0.82,nashville-predators,2018/2019
Colton Sissons,C,25,"$3,450,000",-,-,"$3,450,000","$2,857,412","$2,857,412",3.61,nashville-predators,2019/2020
Connor Brickley,C,26,"$650,000",-,-,"$181,740","$650,000","$181,740",0.24,new-york-rangers,2018/2019
Connor Brown,RW,24,"$1,600,000","$500,000",-,"$2,100,000","$2,100,000","$2,100,000",2.77,toronto-maple-leafs,2018/2019
Connor Brown,RW,25,"$1,600,000","$500,000",-,"$2,100,000","$2,100,000","$2,100,000",2.98,ottawa-senators,2019/2020
Connor Carrick,D,24,"$1,100,000","$200,000",-,"$454,302","$1,300,000","$300,573",0.48,new-jersey-devils,2018/2019
Connor Carrick,D,25,"$1,500,000",-,-,"$1,500,000","$1,500,000","$1,500,000",2.38,new-jersey-devils,2019/2020
Connor Clifton,D,23,"$650,000","$50,000",-,"$210,870","$725,000","$101,348",0.13,boston-bruins,2018/2019
Connor Clifton,D,24,"$700,000","$50,000","$20,000","$750,000","$725,000","$725,000",0.94,boston-bruins,2019/2020
Connor Hellebuyck,G,25,"$7,000,000",-,-,"$7,000,000","$6,166,666","$6,166,666",8.16,winnipeg-jets,2018/2019
Connor Hellebuyck,G,26,"$6,000,000",-,-,"$6,000,000","$6,166,666","$6,166,666",7.63,winnipeg-jets,2019/2020
Connor McDavid,C,21,"$2,000,000","$13,000,000",-,"$15,000,000","$12,500,000","$12,500,000",15.29,edmonton-oilers,2018/2019
Connor McDavid,C,22,"$1,000,000","$13,000,000",-,"$14,000,000","$12,500,000","$12,500,000",15.52,edmonton-oilers,2019/2020
Connor Murphy,D,25,"$4,500,000",-,-,"$4,500,000","$3,850,000","$3,850,000",5.21,chicago-blackhawks,2018/2019
Connor Murphy,D,26,"$4,400,000",-,-,"$4,400,000","$3,850,000","$3,850,000",5.58,chicago-blackhawks,2019/2020
Conor Garland,RW,22,"$650,000",-,"$70,000","$422,895","$680,000","$442,376",0.6,arizona-coyotes,2018/2019
Conor Garland,RW,23,"$750,000",-,-,"$750,000","$775,000","$775,000",0.99,arizona-coyotes,2019/2020
Conor Sheary,LW,26,"$3,000,000",-,-,"$3,000,000","$3,000,000","$3,000,000",3.91,buffalo-sabres,2018/2019
Conor Sheary,LW,27,"$3,000,000",-,-,"$661,289","$3,000,000","$3,000,000",3.53,pittsburgh-penguins,2019/2020
Corey Crawford,G,33,"$6,000,000",-,-,"$6,000,000","$6,000,000","$6,000,000",8.12,chicago-blackhawks,2018/2019
Corey Crawford,G,34,"$5,000,000",-,-,"$5,000,000","$6,000,000","$6,000,000",8.7,chicago-blackhawks,2019/2020
Corey Perry,RW,33,"$6,500,000","$2,500,000",-,"$9,000,000","$8,625,000","$8,625,000",11.32,anaheim-ducks,2018/2019
Corey Perry,RW,34,"$1,500,000",-,"$1,750,000","$1,500,000","$1,500,000","$1,500,000",1.96,dallas-stars,2019/2020
Cory Schneider,G,32,"$6,000,000",-,-,"$6,000,000","$6,000,000","$6,000,000",9.57,new-jersey-devils,2018/2019
Cory Schneider,G,33,"$6,000,000",-,-,"$6,000,000","$6,000,000","$6,000,000",9.53,new-jersey-devils,2019/2020
Craig Anderson,G,37,"$5,500,000",-,-,"$5,500,000","$4,750,000","$4,750,000",6.83,ottawa-senators,2018/2019
Craig Anderson,G,38,"$4,000,000",-,-,"$4,000,000","$4,750,000","$4,750,000",6.74,ottawa-senators,2019/2020
Craig Smith,C,29,"$4,500,000",-,-,"$4,500,000","$4,250,000","$4,250,000",5.6,nashville-predators,2018/2019
Craig Smith,C,30,"$4,750,000",-,-,"$4,750,000","$4,250,000","$4,250,000",5.37,nashville-predators,2019/2020
Cristoval Nieves,C,24,"$708,750",-,-,"$537,210","$708,750","$537,210",0.72,new-york-rangers,2018/2019
Curtis Lazar,C,24,"$700,000",-,-,"$489,190","$700,000","$489,190",0.64,buffalo-sabres,2019/2020
Curtis McElhinney,G,35,"$850,000",-,-,"$850,000","$850,000","$850,000",1.36,carolina-hurricanes,2018/2019
Curtis McElhinney,G,36,"$1,300,000",-,-,"$1,300,000","$1,300,000","$1,300,000",1.59,tampa-bay-lightning,2019/2020
Dakota Mermis,D,25,"$700,000",-,-,"$169,335","$700,000","$169,335",0.27,new-jersey-devils,2019/2020
Dale Weise,RW,30,"$2,350,000",-,-,"$755,044","$2,350,000","$755,044",1.04,montreal-canadiens,2018/2019
Dale Weise,RW,31,"$1,750,000",-,-,"$1,750,000","$2,350,000","$2,350,000",3.09,montreal-canadiens,2019/2020
Dalton Prout,D,28,"$800,000",-,-,"$800,000","$800,000","$800,000",1.02,calgary-flames,2018/2019
Damon Severson,D,24,"$3,000,000",-,-,"$3,000,000","$4,166,666","$4,166,666",6.65,new-jersey-devils,2018/2019
Damon Severson,D,25,"$4,675,000",-,-,"$4,675,000","$4,166,666","$4,166,666",6.62,new-jersey-devils,2019/2020
Dan Girardi,D,34,"$2,750,000",-,-,"$2,750,000","$3,000,000","$3,000,000",3.83,tampa-bay-lightning,2018/2019
Dan Hamhuis,D,35,"$1,500,000",-,-,"$1,500,000","$1,250,000","$1,250,000",1.65,nashville-predators,2018/2019
Dan Hamhuis,D,36,"$1,000,000",-,-,"$1,000,000","$1,250,000","$1,250,000",1.58,nashville-predators,2019/2020
Danick Martel,LW,23,"$715,000",-,-,"$715,000","$715,000","$715,000",0.91,tampa-bay-lightning,2018/2019
Daniel Sprong,RW,21,"$750,000",-,-,"$504,000","$750,000","$504,000",0.66,anaheim-ducks,2018/2019
Danny DeKeyser,D,28,"$5,000,000","$500,000",-,"$5,500,000","$5,000,000","$5,000,000",7.22,detroit-red-wings,2018/2019
Dante Fabbro,D,20,"$832,500","$92,500",-,"$141,736","$925,000","$54,703",0.07,nashville-predators,2018/2019
Dante Fabbro,D,21,"$832,500","$92,500","$850,000","$925,000","$925,000","$925,000",1.17,nashville-predators,2019/2020
Danton Heinen,C,23,"$832,500","$92,500","$212,500","$925,000","$872,500","$872,500",1.12,boston-bruins,2018/2019
Danton Heinen,C,24,"$2,825,000",-,-,"$622,708","$2,800,000","$2,800,000",3.49,anaheim-ducks,2019/2020
Darcy Kuemper,G,28,"$1,600,000",-,-,"$1,600,000","$1,850,000","$1,850,000",2.52,arizona-coyotes,2018/2019
Darnell Nurse,D,23,"$3,200,000",-,-,"$3,200,000","$3,200,000","$3,200,000",3.92,edmonton-oilers,2018/2019
Darnell Nurse,D,24,"$3,200,000",-,-,"$3,200,000","$3,200,000","$3,200,000",3.97,edmonton-oilers,2019/2020
Darren Helm,C,31,"$3,500,000","$250,000",-,"$3,750,000","$3,850,000","$3,850,000",5.56,detroit-red-wings,2018/2019
Darren Helm,C,32,"$3,000,000",-,-,"$3,000,000","$3,850,000","$3,850,000",5.66,detroit-red-wings,2019/2020
David Backes,C,34,"$3,000,000","$3,000,000",-,"$6,000,000","$6,000,000","$6,000,000",7.7,boston-bruins,2018/2019
David Backes,C,35,"$1,000,000","$3,000,000",-,"$236,544","$6,000,000","$4,500,000",5.61,anaheim-ducks,2019/2020
David Kampf,C,23,"$832,500","$92,500",-,"$832,500","$925,000","$925,000",1.25,chicago-blackhawks,2018/2019
David Kampf,C,24,"$1,000,000",-,-,"$1,000,000","$1,000,000","$1,000,000",1.45,chicago-blackhawks,2019/2020
David Krejci,C,32,"$7,500,000",-,-,"$7,500,000","$7,250,000","$7,250,000",9.3,boston-bruins,2018/2019
David Krejci,C,33,"$7,000,000",-,-,"$7,000,000","$7,250,000","$7,250,000",9.38,boston-bruins,2019/2020
David Pastrnak,RW,23,"$6,800,000",-,-,"$6,800,000","$6,666,666","$6,666,666",8.63,boston-bruins,2019/2020
David Perron,LW,30,"$4,750,000",-,-,"$4,750,000","$4,000,000","$4,000,000",5.0,st-louis-blues,2018/2019
David Perron,LW,31,"$4,750,000",-,-,"$4,750,000","$4,000,000","$4,000,000",4.92,st-louis-blues,2019/2020
David Rittich,G,26,"$800,000",-,-,"$800,000","$800,000","$800,000",1.02,calgary-flames,2018/2019
David Rittich,G,27,"$2,750,000",-,-,"$2,750,000","$2,750,000","$2,750,000",3.6,calgary-flames,2019/2020
David Savard,D,27,"$4,750,000",-,-,"$4,750,000","$4,250,000","$4,250,000",5.54,columbus-blue-jackets,2018/2019
David Savard,D,28,"$5,000,000",-,-,"$5,000,000","$4,250,000","$4,250,000",5.47,columbus-blue-jackets,2019/2020
Dean Kukan,D,25,"$700,000",-,-,"$700,000","$725,000","$725,000",0.94,columbus-blue-jackets,2018/2019
Dean Kukan,D,26,"$750,000",-,-,"$750,000","$725,000","$725,000",0.93,columbus-blue-jackets,2019/2020
Denis Gurianov,RW,22,"$832,500",-,"$850,000","$814,632","$894,167","$874,874",1.15,dallas-stars,2019/2020
Denis Malgin,C,21,"$650,000","$65,000",-,"$704,585","$690,000","$678,930",0.88,florida-panthers,2018/2019
Denis Malgin,C,22,"$750,000",-,-,"$185,472","$750,000","$750,000",0.91,toronto-maple-leafs,2019/2020
Dennis Seidenberg,D,37,"$700,000",-,-,"$158,065","$700,000","$158,065",0.23,new-york-islanders,2018/2019
Derek Forbort,D,26,"$2,100,000",-,-,"$2,100,000","$2,525,000","$2,525,000",3.28,los-angeles-kings,2018/2019
Derek Forbort,D,27,"$2,800,000",-,-,"$617,214","$2,525,000","$1,893,750",2.48,calgary-flames,2019/2020
Derek Grant,LW,28,"$650,000",-,-,"$328,460","$650,000","$328,460",0.43,anaheim-ducks,2018/2019
Derek Grant,LW,29,"$700,000",-,-,"$154,283","$700,000","$154,283",0.19,philadelphia-flyers,2019/2020
Derek Ryan,C,31,"$3,125,000",-,-,"$3,125,000","$3,125,000","$3,125,000",3.99,calgary-flames,2018/2019
Derek Ryan,C,32,"$3,125,000",-,-,"$3,125,000","$3,125,000",-,0.0,calgary-flames,2019/2020
Derek Stepan,C,28,"$6,000,000",-,-,"$6,000,000","$6,500,000","$6,500,000",8.85,arizona-coyotes,2018/2019
Derek Stepan,C,29,"$5,000,000",-,-,"$5,000,000","$6,500,000","$6,500,000",8.29,arizona-coyotes,2019/2020
Derick Brassard,C,31,"$1,000,000","$2,500,000",-,"$220,416","$5,000,000","$3,000,000",4.24,colorado-avalanche,2018/2019
Derick Brassard,C,32,"$1,200,000",-,-,"$1,200,000","$1,200,000","$1,200,000",1.4,new-york-islanders,2019/2020
Derrick Pouliot,D,24,"$1,100,000",-,-,"$1,100,000","$1,100,000","$1,100,000",1.53,vancouver-canucks,2018/2019
Deryk Engelland,D,36,"$1,500,000",-,"$1,000,000","$1,500,000","$1,500,000","$1,500,000",1.9,vegas-golden-knights,2018/2019
Deryk Engelland,D,37,"$700,000",-,-,"$700,000","$700,000","$700,000",0.84,vegas-golden-knights,2019/2020
Devan Dubnyk,G,32,"$5,000,000",-,-,"$5,000,000","$4,333,333","$4,333,333",5.71,minnesota-wild,2018/2019
Devan Dubnyk,G,33,"$3,500,000",-,-,"$3,500,000","$4,333,333","$4,333,333",5.55,minnesota-wild,2019/2020
Devin Shore,C,24,"$2,200,000",-,-,"$981,724","$2,300,000","$1,026,378",1.35,anaheim-ducks,2018/2019
Devin Shore,C,25,"$2,400,000",-,-,"$529,023","$2,300,000","$2,300,000",2.96,columbus-blue-jackets,2019/2020
Devon Toews,D,24,"$650,000",-,-,"$356,490","$700,000","$383,826",0.56,new-york-islanders,2018/2019
Devon Toews,D,25,"$700,000",-,-,"$700,000","$700,000","$700,000",0.81,new-york-islanders,2019/2020
Dillon Dube,C,20,"$650,000","$92,500","$182,500","$311,155","$778,333","$288,736",0.37,calgary-flames,2018/2019
Dillon Dube,C,21,"$800,000","$92,500","$32,500","$602,140","$778,333","$585,900",0.77,calgary-flames,2019/2020
